imob,imovel_url,codigo,nome,bairro,aluguel,condominio,area,quartos,banheiros,vaga_garagem,descricao
c7234506476bbf0aff48eda764ff9eba,475b51cf4a3bf4f29cb2414680851193,57544d6162644c4cec89720f0d0fb27b,245d9e8bab947ecf1ee8867fe9597ab2, CIDADE UNIVERSITARIA,"R$1.000,00","

                    + Condomínio R$0,00 i
Valores sujeitos a alteração.

+ IPTU R$0,00
",35      M2,1,1,0,"Kitnet próxima à Unicamp (FCA) contendo quarto e sala conjugados, cozinha, banheiro e lavanderia. Este imóvel conta também com geladeira, fogão, escrivaninha, guarda-roupas e ar condicionado, pronto para moradia.
35      M2
1       QUARTO COM ARMARIO
1       SALA CONJUGADA COM O QUARTO
1       COZINHA
1       BANHEIRO
1       LAVANDERIA
PISO CERÂMICO
TETO LAJE"
c7234506476bbf0aff48eda764ff9eba,f2ba6e963c17f9aff690f767c73a7f87,00f33a85f39b78148f5941eac174acd2,245d9e8bab947ecf1ee8867fe9597ab2, CIDADE UNIVERSITARIA,"R$1.000,00","

                    + Condomínio R$0,00 i
Valores sujeitos a alteração.

+ IPTU R$0,00
",35      M2,1,1,0,"Kitnet próxima à Unicamp (FCA) contendo quarto e sala conjugados, cozinha, banheiro e lavanderia. Este imóvel conta também com geladeira, fogão, escrivaninha, guarda-roupas e ar condicionado, pronto para moradia.
35      M2
1       QUARTO  COM ARMARIO E AR CONDICIONADO
1       SALA CONJUGADA COM QUARTO
1       COZINHA COM ARMARIO, GELADEIRA E FOGÃO COOKTOP
1       BANHEIRO
1       ÁREA DE SERVIÇO
PISO CERÂMICO
TETO LAJE"
c7234506476bbf0aff48eda764ff9eba,047b2a430e6e4409268af5251b53d3e1,b62fad32adf34709c628e9833d66b8df,245d9e8bab947ecf1ee8867fe9597ab2, CIDADE UNIVERSITARIA,"R$1.000,00","

                    + Condomínio R$0,00 i
Valores sujeitos a alteração.

+ IPTU R$0,00
",35      M2,1,1,0,"Kitnet próxima à Unicamp (FCA) contendo quarto e sala conjugados, cozinha, banheiro e lavanderia. Este imóvel conta também com geladeira, fogão, escrivaninha, guarda-roupas e ar condicionado, pronto para moradia.
35      M2
1       QUARTO COM ARMÁRIO
1       SALA COM RACK E AR CONDICIONADO
JARDIM DE INVERNO
1       COZINHA PLANEJADA COM GELADEIRA E FOGÃO COOKTOP
1       BANHEIRO
1       LAVANDERIA
PISO PORCELANATO
TETO LAJE"
c7234506476bbf0aff48eda764ff9eba,e3b2a519bc4e229ab0444cb144c3c407,2d7097bf091516c6952950802bd49019,245d9e8bab947ecf1ee8867fe9597ab2, CIDADE UNIVERSITARIA,"R$1.000,00","

                    + Condomínio R$0,00 i
Valores sujeitos a alteração.

+ IPTU R$0,00
",35      M2,1,1,0,"Kitnet próxima à Unicamp (FCA) contendo quarto e sala conjugados, cozinha, banheiro e lavanderia. Este imóvel conta também com geladeira, fogão, escrivaninha, guarda-roupas e ar condicionado, pronto para moradia.
35      M2
1       QUARTO  COM ARMÁRIO
1       SALA
1       COZINHA COM ARMÁRIO E GELADEIRA
1       BANHEIRO
PISO CERÂMICO
TETO LAJE"
c7234506476bbf0aff48eda764ff9eba,71edf6c4e8ad2dee47bf8c9b275c022a,12d0456fa8a537ce311abb5ea43c4b03,245d9e8bab947ecf1ee8867fe9597ab2, CIDADE UNIVERSITARIA,"R$1.000,00","

                    + Condomínio R$0,00 i
Valores sujeitos a alteração.

+ IPTU R$0,00
",35      M2,1,1,0,"Kitnet próxima à Unicamp (FCA) contendo quarto e sala conjugados, cozinha, banheiro e lavanderia. Este imóvel conta também com geladeira, fogão, escrivaninha, guarda-roupas e ar condicionado, pronto para moradia.
35      M2
1       QUARTO COM ARMARIO
1       SALA CONJUGADA COM QUARTO
1       COZINHA COM ARMARIO, FOGÃO COOKTOP E GELADEIRA
1       ÁREA DE SERVIÇO
PISO CERÂMICO
TETO LAJE"
c7234506476bbf0aff48eda764ff9eba,05e7bebf48892747e66c11ef7296eb5d,660f29bab4766650b9e3e62aae4f6730,245d9e8bab947ecf1ee8867fe9597ab2, CIDADE UNIVERSITARIA,"R$850,00","

                    + Condomínio R$0,00 i
Valores sujeitos a alteração.

+ IPTU R$0,00
",1       QUARTO CONJUGADO,1,1,0,"Kitinet próximo à Unicamp (FCA) sendo 01 quarto e cozinha conjugados, banheiro e área de serviço. O imóvel  possui: geladeira, cama, colchão, cortina black out, fogão, armário e conta também com cerca elétrica, interfone, cameras de monitoramento além de ter incluso em seu aluguel as despesas de água, energia e iptu.
1       QUARTO CONJUGADO
1       COZINHA CONJUGADO
1       BANHEIRO
1       ÁREA DE SERVIÇO
PISO CERÂMICO
TETO LAJE"
c7234506476bbf0aff48eda764ff9eba,ca7ac33e7c5914d2ddd0215d8d521c32,eccf80daef9939671bc11ac471171654,245d9e8bab947ecf1ee8867fe9597ab2, CIDADE UNIVERSITARIA,"R$1.000,00","

                    + Condomínio R$0,00 i
Valores sujeitos a alteração.

+ IPTU R$0,00
",1       QUARTO COM ARMARIO,1,1,0,"Kitnet próxima à Unicamp (FCA) contendo quarto e sala conjugados, cozinha, banheiro e lavanderia. Este imóvel conta também com geladeira, fogão, escrivaninha, guarda-roupas e ar condicionado, pronto para moradia.
1       QUARTO COM ARMARIO
1       SALA CONJUGADA COM O QUARTO
1       COZINHA COM ARMARIO
1       BANHEIRO
1       LAVANDERIA
PISO PORCELANATO
TETO LAJE"
c7234506476bbf0aff48eda764ff9eba,3c4f789084c796e08666b8db67e710b3,0236a38d5e4d324ecebfb8c807b7f238,245d9e8bab947ecf1ee8867fe9597ab2, CIDADE UNIVERSITARIA,"R$1.000,00","

                    + Condomínio R$0,00 i
Valores sujeitos a alteração.

+ IPTU R$0,00
",35      M2,1,1,0,"Kitnet próxima à Unicamp (FCA) contendo quarto e sala conjugados, cozinha, banheiro e lavanderia. Este imóvel conta também com geladeira, fogão, escrivaninha, guarda-roupas e ar condicionado, pronto para moradia.
35      M2
1       QUARTO COM ARMARIO
1       SALA CONJUGADA COM QUARTO
1       COZINHA COM ARMARIO
1       BANHEIRO
1       LAVANDERIA
PISO PORCELANATO
TETO LAJE"
c7234506476bbf0aff48eda764ff9eba,511baad99be047263db7465db31a3ed7,72d0a25bdc4aa78facc3b05f3b7dc2b9,245d9e8bab947ecf1ee8867fe9597ab2, CIDADE UNIVERSITARIA,"R$1.000,00","

                    + Condomínio R$0,00 i
Valores sujeitos a alteração.

+ IPTU R$0,00
",1       QUARTO CONJUGADO COM A SALA,1,1,0,"Kitnet próxima à Unicamp (FCA) contendo quarto e sala conjugados, cozinha, banheiro e lavanderia. Este imóvel conta também com geladeira, fogão, escrivaninha, guarda-roupas e ar condicionado, pronto para moradia.
1       QUARTO CONJUGADO COM A SALA
1       SALA
1       COZINHA
1       BANHEIRO
1       ÁREA DE SERVIÇO
PISO CERÂMICO
TETO LAJE"
c7234506476bbf0aff48eda764ff9eba,9319ce3912a380c17ae42b091066a9cf,adaf6dba40a3695184eea6bad00e96bf,245d9e8bab947ecf1ee8867fe9597ab2, CIDADE UNIVERSITARIA,"R$1.000,00","

                    + Condomínio R$0,00 i
Valores sujeitos a alteração.

+ IPTU R$0,00
",35      M2,1,1,0,"Kitnet próxima à Unicamp (FCA) contendo quarto e sala conjugados, cozinha, banheiro e lavanderia. Este imóvel conta também com geladeira, fogão, escrivaninha, guarda-roupas e ar condicionado, pronto para moradia.
35      M2
1       QUARTO COM ARMARIO
1       SALA CONJUGADA COM QUARTO
1       COZINHA COM ARMARIO
1       BANHEIRO
1       LAVANDERIA
PISO PORCELANATO
TETO LAJE"
